character,top sccs
始,始姶姢殆娢姾婨嬁饴姱
姌,姌嫦嫺妽媧姏媾妯姆媌
姍,姍姗姸娜嫺媩焩婀娳姬
姎,姎妜殃妷妋媟炴娂娕媒
姏,姏姑媌妯姞嫦媶妽婶姫
姐,姐姫婟姬媧婤妲妞妑媪
姑,姑姞姏妯媌嫦妽媶姡婎
姒,姒娰娍妙奴妼嬷拟娀娥
姓,姓夝殅姃妞妊姙姫姑妵
委,委娄蒌萎黍荾窭季婓蒆
姕,姕祡些坒柴鈭婱枈啙媐
姖,姖嫗姫妲姮婟姐妇娼姬
姗,姗姍娜姸焩媩珊唰川嫺
姘,姘妍妌娧娣奷奸饼妕姺
姙,姙婎姓夝殅姃姫姺妵难
姚,姚姯烑佻铫晀珧咷桃恌
姛,姛婟姠嫗婤嫺媥媧姐姖
姜,姜葁菨霎美蘘荌霋婓荽
姝,姝殊妷妺妋娕妹婡媟娻
姞,姞姑娮婼姏婧婠媶嫱媠
姟,姟赅烗妶姣垓晐畡核咳
姠,姠姛婟饷姁姰姉姏媔姷
姡,姡妊姑姏姞嬏媧姫媌嫡
姢,姢始嬒婨姶婧媍殆媠姷
姣,姣饺烄姟铰妏皎賋挍校
姤,姤媥垢媚妒婮嫗娾姡姫
姥,姥铑栳娏婘粩佬媎恅咾
姦,姦葌叒叕妾轰藗炙斄熭
姧,姧奸豻妍汧钘豜纡纤歼
姨,姨妋媒孃媖娱媟娻娛媴
姩,姩嫶嫵妦婎媾娒妽婶嬅
姪,姪姾娝娙嬥嬁媱嬌媓姱
姫,姫姬姐姃姖嫗婟娾媧妑
姬,姬姫姃姐媔婟娅妑嫗妞
姭,姭蒆嬰婺妥媭嫢嫯嬱窭
姮,姮姖妲媗嫗媑嬉婳嬗媈
姯,姯姚桄娧妣挄晄姺硄恍
姰,姰姁殉娒姠姷妸婤姛妁
姱,姱妗嫽姶始姈娢姾姢嬌
姲,姲奻妭婈妏娞嬟姣妓嫔
姳,姳烙媎媱姼嫆赂眳铭娙
姴,姴劽妴銐裂媭烮妿鋫婴
姵,姵妮妧姛婤妸姍嫲嫬婮
姶,姶娢始姾婨烚饸姈姢熗
姷,姷媠妬姰姠婠婶姏姁妰
姸,姸奸姍妍姗媂妞娜妕媩
姹,姹奼婝婕烢嬟妦嬈娐嫔
姺,姺妌娔妍姘姝婗妉姓奸
姻,姻婟娲妪妠娴嫻姛烟媧
姼,姼栘拸移跢袳恀陊眵侈
姽,姽垝恑桅峗陒尯诡佹嬑
姾,姾姶娢始嬁姈媮姪烇妗
姿,姿垐秶乲栥娑餈娄媭妴
娀,娀娍媙羢贼嫰嬓娥嫉娹
威,威烕戚崴咸成臧喴嵗戍
娂,娂妋媟婰妷姎娕媒娻娸
娃,娃嬅媸孉姑娌姓媶姞娷
娄,娄蒌委类荾麥窭萎粪婓
娅,娅奾妅姃姬妞殈婭如媔
娆,娆饶烧铙硗骁哓峣晓蛲
娇,娇矫姀妚妡硚婖奷妩妍
娈,娈奕耍委要变婪麥婓妿
娉,娉嫮娼娨媓婷媁娚嬬娌
娊,娊婗覌婐娔娚婫娩媒姐
娋,娋嫦焇姅媎姢嫡嬀姏嫱
娌,娌妲媓姫姐婟姆娷媧姬
娍,娍娀媙煘姒婌娥铖贼媺
娎,娎乴銴要嬱梊蒆委裚埑
娏,娏哤蛖浝駹硥牻姥妮狵
娐,娐嬣殍婬娢姹始妗婷姱
娑,娑姿挲嫈硰裟乷嫛桬娄
娒,娒姰婎嫶姷姁婠姩媠嫗
娓,娓媉婮娾媥婫媚婤娟媞
娔,娔殑娻姺娧婗娊娕妌媿
娕,娕媡娻殐媟妺妋媒姝妹
娖,娖媞妮妑姃姬姫姐妞婤
娗,娗娫烶烻铤埏硟延珽脡
娘,娘斏嫝姄姎婛娠媳婊妓
娙,娙殌烴羥挳桱牼俓輕姪
娚,娚娊娉嬽婹娌婗嫮媧妈
娛,娛娱媖娯嬩嬠婰嫫嬹媒
娜,娜嫏姗姍哪琊娳姸捓邥
娝,娝嬌妱媹嬙嬏姪嬥娙媼
娞,娞婑嬡媛嫒馁婹姲桵婬
娟,娟媦娼媢媚妇婦婧姛媧
娠,娠嫝賑赈嫄姄帪陙桭媥
娡,娡媤婃媯媳嫕婊婛孍娘
娢,娢姶始姾焓婨姈熗妗饸
娣,娣姊娧姘娩媇妦妽嫦婵
娤,娤要妛荌奘菨嬖葁婓雯
娥,娥饿娍娀烖蛾嬂娬姒戭
娦,娦嬹娸嫔婰娯孃嫇嬩殡
娧,娧娩娣婗姘娔姯婏妔娊
娨,娨嬶媓婷嫴娉嬕嬋媁媈
娩,娩婏娧婗娣娊娔妉媿娕
娪,娪嬬娼嫿嬻媢嬌媦嫮孀
娫,娫娗烻硟埏妅処铤唌烶
娬,娬嬂斌赋娥媙娍孍嬿娀
娭,娭竢埃唉媖嫔嬐嬫嬢诶
娮,娮婧婠姞媠嬄婄婦嫧嫸
娯,娯嫇娛娱嬽嬝嬩嬹嫨嬠
娰,娰姒妙妼婌娍娀娹嬷嫐
娱,娱娛娯嬛嬝嬠婐姨嬽媄
娲,娲嫻姻媬姄妑媽媧婐妩
娳,娳娜奾琍姍刎悧唎嫏姗
娴,娴妫嫻妠姻她嫺姠姉婤
娵,娵掫诹棷陬婌噉嬓嫩輙
娶,娶婜婴嫯鋻嫛埾婺嬜竪
娷,娷娌媑婬嬅婭娃姫妊姡
娸,娸婰嬩嬹媜媖嫫嫃嫨嫇
娹,娹娀妶娰嬓婲嫐妼妙嫰
娺,娺棳蝃醊畷啜惙裰掇辍
娻,娻娕媡媟媒殐婛妋娔妺
娼,娼媢娟媦妇媚婠姖娉媧
娽,娽椂婊粶嫁嫘姝睩琭殔
娾,娾婮姫嫗嫟娓媉孎媥姬
娿,娿嬱耍夒婯娤畟要姇媐
婀,婀啊姍嫺妸则锕媔赒帅
婁,婁寠蔞萋蔓橐囊蓂稾妻
婂,婂媏婦媥媪娟媂嫦奸婶
婃,婃婛娻媟媴媒粽媳媇婊
婄,婄娮殕嫱婠婧姞娪嬬嬙
婅,婅麹媡婏妳妜婡椈陱麴
婆,婆錃碆蔢妴蒌嫛婺媻媭
婇,婇埰採踩啋棌嬚妖倸媟
婈,婈嫂妓棱姲孇堎嬳婑稜
婉,婉妔妧焥妨妉妫埦啘妩
婊,婊媴妋妷媟娕娻妺姝嬟
婋,婋琥唬虓嗁椃嫙虠嫬娔
婌,婌掓埱媺椒琡娍俶娵踧
婍,婍嬌齮媠婂媮婧始姷媂
婎,婎姙姑嫶娒姏难雄姫姩
婏,婏娩妷娧娕媟婗媿婅姝
婐,婐嬠媒媟娊娕娱娻婗娛
婑,婑矮婹娞嫒嬡孆媛婈嬏
婒,婒燚赕焱锬奺嫾棪賧燅
婓,婓斐奜裴姜猆羐葁要辈
婔,婔妌妍妦姘婞姺妉姉妕
婕,婕媫婝媞媁娔孀嫸婠嫅
婖,婖掭悿娇嫕嫁舔塨妚妳
婗,婗娊娧娩娔婐妉妍覥姺
婘,婘媎姥媋犈嬏嫀倦棬啳
婙,婙婬姅娷嫼婵媇嬏妦姡
婚,婚媘嫟嬏殙嬌媹嫍嫞孎
婛,婛婃娻娕嫝媡媒媴娘弶
婜,婜娶鋻竪掔嬜婴堅嫛孯
婝,婝婕媫婉妔媞姹娖妨婃
婞,婞嬅妦婥嬋媁嫦媇嫴媾
婟,婟姛姐婤媧姖姫嫗姬妲
婠,婠娮婧媠媗姞娼嫸媦婶
婡,婡妺姝奺殎麳妉殏妹殊
婢,婢嬋姌婥婵妽娨娌婞媒
婣,婣媏媪姏婂姍嫦媂嫺媩
婤,婤婟媧姐嫺姛媀媽姆姫
婥,婥嬋媁媈婞妽婷媶嫦嫃
婦,婦娮娟婂媦嫧嬦婧婫嬬
婧,婧媠娮婠嫧姞嬄媦嬻媗
婨,婨媮姶娢婾姢始棆嬐媕
婩,婩嫦嬋嫞媁堓婦婮娾婻
婪,婪梦媝娈椘禁姴姿変姇
婫,婫婦婮娓媞娊媥婂嫗姄
婬,婬嫍娷婙媑妊姡娞嬥奼
婭,婭姫姃娷姬姐娅妞姓媈
婮,婮娾娓媥姫媉媧嫗嫟婤
婯,婯耍耎娈娿嬊孁靊要蘡
婰,婰娸嬩嬹媖嫫娂娛媜媒
婱,婱蒆葁萎霎蒌要嬊菨蒵
婲,婲妣埖嬨婡娹她殏椛齔
婳,婳媔嫗姮婟妸姖嫡姛媨
婴,婴娶婜夒嬰妿嫢夓罂叜
婵,婵殚妦妽嫦姌婥娣婢婞
婶,婶妽姏嫦姉婠姑媾婻姷
婷,婷嬦嫥娨娮嬬嬄嫴媓媁
婸,婸楊暢殤煬蝪瑒場畼崵
婹,婹嬽孆婑嫨嫂娸娚嫖嫇
婺,婺嫯堥嫳獒鍪鏊娶蔢嫛
婻,婻媌嫦姏嫡姌媾嫱孏婶
婼,婼姞嫅孉媎姑嫱媋媾姏
婽,婽姄孍煆娠婫孄媀婌媽
婾,婾媮婨嬐媕嬭嬂楡娬娢
婿,婿媦媠媢嬙娟婚嬌娼婧
媀,媀媧媽婤孎姄嫺婮媤娌
媁,媁嫴嬦嬕媈嬋嫜嬄婥嬅
媂,媂媏嫦姸婂嫡奷媊姉婶
媃,媃嫊嬠嫘孃煣嬢婐殩媒
媄,媄媖嫨躾嫫娛姨娸嫔娱
媅,媅媒媪姫娊嫻媟媽嫟姌
媆,媆嬹嬩姎娸嫇煗婰陾妜
媇,媇嬚娣媒婞妦孃娻媡嫌
媈,媈嬋嫜嫴嬕嬶媁媑嬞媦
媉,媉娓媷婮娾喔孎嫞媥嫟
媊,媊嫡媂妸媨嫦媾姉姠孏
媋,媋嬸婼嫀孉媎娮嫆婚姞
媌,媌姏婻嫡嫱姑嫦妯媨媶
媍,媍媜嫃媕姢嫫嫧嬒嫇嬪
媎,媎婼孉嫱赌嬏娋媨嬙婘
媏,媏婣媂婂媪煓姸嫦媩婦
媐,媐嬰妛罢躩畟瞾罣龔睪
媑,媑嬞媈姮嫜娷嬯嫤嬉媗
媒,媒媟婐娻娕嬠殜媡娂姎
媓,媓娌娨嫿媗煌嬯嬉婷娼
媔,媔婳姬嫺婟嫗妸姫嫡姠
媕,媕嬐媍婨姢媮嬒嫽婾嬆
媖,媖媄婰娛嫫娸嬩嫨嬹媒
媗,媗嬄婠嫧姮嫿嬉嬯婧娮
媘,媘婚嬙嫱姏媨媎嫟媌嬥
媙,媙娍娀蝛煘揻羬槭嬓搣
媚,媚娟娼媢媦姤媧婟婮煝
媛,媛嫒嬡煖锾瑷娞暖瑗叆
媜,媜嫃娸嫇嫫媍婰嬩嫔嫧
媝,媝揫鍫甃蝵婪嫳湬娶嫈
媞,媞娖媪娌婮婫媓姫妑婤
媟,媟媒娻娕妋媡妷婐娂姝
媠,媠婧婠娮姷嬄嫞姞媦孈
媡,媡娕娻媟殐妋媒煉姝妺
媢,媢媦娼娟妇嬇嫧嬻婧嬄
媣,媣嫾嬫婡婒奺媒姎媃妷
媤,媤媳媽嫕妑媀媪姄嫄妃
媥,媥姤婮斒嫗姛煸婂娓娾
媦,媦媢娟娼妇婧婿嫧媈婠
媧,媧婤嫺婟姐媀姫姌姆姏
媨,媨嫡媌姏妯姑婟婳姡媎
媩,媩嫺姌姆姍姏姗媸姸媧
媪,媪媼姐妞姫殟妑媧媏婂
媫,媫婕婝媞娔媯姖婂婠婃
媬,媬娲姝妷嫻姄媟堢椺婐
媭,媭嬃窭墾澃姴委娄婆妴
媮,媮婨婾羭姶堬崳蝓姾嬐
媯,媯嬀媽鳷妫蟡嫣婤嫬娲
媰,媰娚娩妱婼媧嬥媀婏孉
媱,媱熎媎姳榣嬥姢姪嬣瑤
媲,媲嫓媹媅婍孊嫽嬘婫姪
媳,媳媤媽嫕鳩嬺媥殦婃鳷
媴,媴婊嬛孃姨嬝娻婃婛嫝
媵,媵螣塍腃膡勝滕髅幐睠
媶,媶媸姏嫦姞嫹媌姑媾妽
媷,媷媉薅孎娾媥嫗娠娓嫞
媸,媸媶嫹嫦姏媌娃姌嫱媾
媹,媹嫍嬥嫟娝媧妱婚嬙婟
媺,媺嬍嫩嬓婌嫰娍隞嗷嗽
媻,媻嫛嫯搫婺鎜娶嫳婆篓
媼,媼媪熅妱妞殟姶媹榲姐
媽,媽媀婤媤媧娾婮媳嫻媪
媾,媾嫦姌嬅媶姑婻姏婶姞
媿,媿妉娔婗妫娩妩娕婏娻
嫀,嫀殝嫊媋嬟婊嫔孃嫹嬈
嫁,嫁幏镓嫊榢烼糘婊傢稼
嫂,嫂婹孇馊婈螋锼妓嫚艘
嫃,嫃媜嫇嫧嫫娸媍嫨殞嬽
嫄,嫄娠嫝嫻塬媥羱媽嬷媤
嫅,嫅婼孉娃姞嫸娣嫎婕馐
嫆,嫆熔塎镕瑢榕穃愹媋婚
嫇,嫇嫃娯媜嬝嫨嬽殠娸熐
嫈,嫈瑩禜塋娑犖勞鎣媝螢
嫉,嫉螏娀嫙愱娍槉嫬姎媙
嫊,嫊嫘嫀媃嫁孃婊嫥嬈塐
嫋,嫋嬷姨娲媴嬝妘嬤嬛嬢
嫌,嫌赚妺娕妹媇嗛娻媟媡
嫍,嫍嬥婬媹婚熖嬀姡嬏嫟
嫎,嫎嬬娣嬦娮嫮嫅嬀婦媦
嫏,嫏娜邥娳卿郟郝姗刎郷
嫐,嫐嫰嬓嫩媺娍娀媙燩皦
嫑,嫑窶窦葽霎羹蕓萋羮霋
嫒,嫒媛嬡瑷煖娞婑楥暖叆
嫓,嫓媲嫆嫽嫘姪婏婘嬘媰
嫔,嫔殡嫇嫃娸娦媜嫫媖媄
嫕,嫕媤媳媽娠嬺嫄婖嫝媷
嫖,嫖婹嬽娉嬬娨嬠嫼嫮嫨
嫗,嫗姖姛姫婟姬姮娾媔媥
嫘,嫘嫊嬠媃婐嫖娽孆娨娯
嫙,嫙嫬璇嫉暶嫲婋婉镟妔
嫚,嫚嫇嬝嬇墁媓嬶婫馒嬻
嫛,嫛瑿媻撃嫯擊娶婜繄婺
嫜,嫜嬞媈媁嬉媑嬋嬑媗嬯
嫝,嫝娠娘嬷嫄婛嵻媴嬤嬚
嫞,嫞媠婧媥媗婦媦嬄媉婠
嫟,嫟孎娾娼婮媧婚姫媹嫗
嫠,嫠孷斄釐氂犛剺鰲謷饏
嫡,嫡媌媨嫱婻嫦嫺姏孏媔
嫢,嫢嬰夒崣婴蔢婆夓婱蘡
嫣,嫣嬺媦嬬媽娪娟娼娉嬦
嫤,嫤殣嬞嬯嬅嫿馑建嫴嬉
嫥,嫥婷嫴嬉嬦嬯嫇婥嫭媁
嫦,嫦姌媾妽婻姏媶媌媂媸
嫧,嫧嬇嬄嬻婧媗嫃嫹娮媢
嫨,嫨嬽媖媄嫫嫇娸嫃娯嬩
嫩,嫩嫰嬓嗽媺摗嫐嗷樕嘁
嫪,嫪熮賿嘐谬疁镠蟉璆摎
嫫,嫫媖娸婰媜嫃嫨娛嬩媒
嫬,嫬媥熫姠嫙婶姵嫲妽婻
嫭,嫭嫥薅婥摢媷孊媥娾娓
嫮,嫮娉嬬嫿嬉娪嫴嬦嫤嬻
嫯,嫯婺娶獒媻嫛赘鏊螯撉
嫰,嫰嫩嬓嗽媺摗樕娀嫐娍
嫱,嫱媌嬙姞嫡嫦姏媸婻婼
嫲,嫲姵嫬孍嫰嬷嫙妡妮孊
嫳,嫳獘婺娶嫯媻斃媝撆嬜
嫴,嫴媁嬉媈嬯嫥嬦嬕嬶娨
嫵,嫵嫶姩嫌嬿嫬嬅婵娒媾
嫶,嫶姩嫵婎燋娒媠媾妰嫬
嫷,嫷橢憜撱妰姷嫟焔媚嫦
嫸,嫸嫿婧娮婠嫴媁嬄嬉孈
嫹,嫹嬇嫧媸媶嫃嫨嬽媜嬈
嫺,嫺媧嫻姌婤婟媔媩孄姏
嫻,嫻嫺孄娲媧娴媀婤媽嫄
嫼,嫼嬕娌娨嬋孋姅婙婢娉
嫽,嫽嬐姱姶始嬁姈媕殗燎
嫾,嫾媣婒燐娣橉娩婡憐暽
嫿,嫿嬄嬯嬻嬉媗媓嫸嬦嬗
嬀,嬀嬑嫍娋媯嫎媽嬚媛嫒
嬁,嬁燈姾始姶娢妗嫽姈嬳
嬂,嬂娬殱熾孅娥媙嬍軄旘
嬃,嬃媭澃窭頾盨墾蒌娄婆
嬄,嬄嫿嫧媗嬻殪嬯娮婧嬦
嬅,嬅婞媾嫤娃媁娷嬋媈嬕
嬆,嬆熻嶖噏嬢媕嬒婏姢蹹
嬇,嬇嫧嫹嬻媢嬶媦嫃殞殨
嬈,嬈嬦嫹燒嫴媁婞婦嫊嫎
嬉,嬉嫴嬯嬗嫿嬄嫥媗嬦姮
嬊,嬊蒆要妻孁婱葁蘡萋藝
嬋,嬋媈婥媁嬕殫嬶娨嫜婞
嬌,嬌嬙嬬娝娪婚矯媠婍婿
嬍,嬍媺嬓嗷嫩嬂噋嘋曒馓
嬎,嬎嬔嫙姽孋嫲孊嫐嫬娫
嬏,嬏姡婚媎娝嬌羳燔嫍媹
嬐,嬐殮媕嫽羷婨飧媮姈婾
嬑,嬑嬺嫜嬀嬄燱媳嫞嬇嫹
嬒,嬒燴姢媍糩媕婠姶娢嫿
嬓,嬓嫩嫰嬍媺燩娀嫐曒皦
嬔,嬔嬎孋姽嬾娫嫙囃嫰慥
嬕,嬕媁媈嬋嫴殬娨嫼嬶嬅
嬖,嬖孹擘璧娤壁蔞葁孽寠
嬗,嬗嬉嬯嬻嫿姮殭擅羶壇
嬘,嬘燧隧璲礈檖襚穟繸禭
嬙,嬙嫱嬌婿媘娪娝婄媹媎
嬚,嬚媇媒婇娻嫝嬀嫄婃嫌
嬛,嬛嬝媴娱噮環娛娯嬇蠉
嬜,嬜婜擎娶嫯婺撉墪氅摯
嬝,嬝嬛嫇娯娱嫚娛姨媴嬶
嬞,嬞媑嫜嬯嫤媈嬄媗嬉嫿
嬟,嬟孃婊嫀嬢媴姲嫔姹媄
嬠,嬠婐媒娛娱孃娯嬽嬹媟
嬡,嬡嫒媛燰噯娞婑璦僾煖
嬢,嬢孃嬠姨婊嬟婹媃媖嬛
嬣,嬣娐媈嬋嫴婞嫥嬕嬅嫔
嬤,嬤嬷嫝孎姒孊媷嫬嚒嫟
嬥,嬥嫍媹孉糶妱燿娝婚媘
嬦,嬦媁婷嫴嬄嬉嫿嫥嬯婦
嬧,嬧媋媈嬅嫿嫴媁嬄娃嬕
嬨,嬨妶嬘婲姥孊锪礠婡娹
嬩,嬩嬹娸婰媖娛娯嫫嫨媜
嬪,嬪殯嫧嬻嫃嬇媜媠嫇媢
嬫,嬫爃媣嶸婒娭蠑爍赕媖
嬬,嬬娪嫮嬌婷孀嬦嫎嫣娉
嬭,嬭婾孏嫻镾孍孄婻嫲嬾
嬮,嬮壓厴黶魘屡屢擪廮懕
嬯,嬯嬉嬄嫿嬞嬗嫴嫤媗嬻
嬰,嬰夓夒嫢媐鑍蘡蒌婴窭
嬱,嬱娿娎壍姭妿嬊嬖要魙
嬲,嬲瞡貱騪焽騩丱魏覅焸
嬳,嬳矱孇婈婹嬽嬁媶嫤耯
嬴,嬴赢羸贏蠃鸁驘臝瀛蝱
嬵,嬵矊檰烆嫷灼烵姙喲崻
嬶,嬶媈娨嬋嫴嬕嬇媁嫃嫜
嬷,嬷嬤嫝姒娍嫲嫄妮妪嫋
嬸,嬸媋婚嬬嬏娪婼嫿孎嫆
嬹,嬹嬩娸婰娯娦媖娛媆嬠
嬺,嬺嬑嫣媳孎嫟嬦娉嫕嬉
嬻,嬻嫧嬄殰嫿嬇婧嬗媢嬯
嬼,嬼嚠懰剡瀏剟熘灲煼媹
嬽,嬽嫨娯嫇嫃婹嬠嬇娛嫫
嬾,嬾櫴懶攋嬚瓎孀嫰嫐孏
嬿,嬿嚥嫌娬嫬嫵婔孍醼嫲
孀,孀嬬娪婕孎媦孋嫣娼姤
孁,孁葽雯霋霎斐萋龔龑嫑
孂,孂嬑嫜媱嫓嫿嬯嬞嬒嫸
孃,孃嬢嬠姨媴嬟媇嫊嫨娦
孄,孄嫻孏嫺爛婻孍媀嫡媌
孅,孅殲嬂殱嬍攕谶娥懺媮
孆,孆婹婑妓嬡婈嬽嫘孇嬩
孇,孇嬳嫂婈婹婑嬡嫒孆孅
孈,孈媁媠嫿婧嬦嫸嫴嬄娉
孉,孉婼娃姞姑姏嫅嫟媶娾
孊,孊孋娾嫲嫭嬤嫬媷婮娓
孋,孋孊嫼孍嬅孀媸嬈孏娷
孌,孌孿變攣奱鑾欒蠻轡卛
孍,孍婽孄嫲嬓姄孋孏媽婻
孎,孎嫟媀嫗娾婮爥媉媧媷
孏,孏孄嫡婻嫺媌姏媾嫱媧
子,子于手予孑干千亍孒宁
孑,孑子孒了乎手予于孓千
孒,孒孓了孑子乎丁千手于
孓,孓孒了孑乎子龴丫丁下
孔,孔扎礼乳乿亂乱钆札犼
孕,孕军挐孪孥拲挛卆孧茡
孖,孖扜抒衧扞抙杍拧衦荇
字,字宇芓享斈芋穻芉宯学
存,存有布禕奋褘荐冇荏茽
孙,孙孤仦刅狐抓釥孔砅狲
孚,孚学莩芓斈宯爭孯茡罦
孛,孛茡荸荢享荦草車蓽譶
孜,孜攷攼改致枚牧攻扠玫
孝,孝牶宯斈拳耊耂鮺拲考
孞,孞忎忈忞戅志莣愨慙蕜
孟,孟盂霝击話啬帝子臿託
孠,孠享軍罦寕皁亨事宯旱
孡,孡抬佁祫袷珆獊捨掄饴
孢,孢抱狍袍佨砲枹胞徇拖
季,季秊李夲委蕐拲莾弆荂
孤,孤抓弧狐柧呱胍仈扒枛
孥,孥拏孯孪挐挛孧掔挚摮
学,学孚茡斈芋荢字丵羊挙
孧,孧挐孥筟孶孪孳拏莩挛
孨,孨掱孴鬐霱蓍髩鬢髺鬌
孩,孩豥侅核咳姟硋烗陔絯
孪,孪挛李孥羍拏秊孧季孕
孫,孫係蓀揉褬綔撡孩豩豫
孬,孬甭螙奔歪覔弅粦齋蟸
孭,孭狽掑猠褀祺禩猉梖預
孮,孮徖掠猔猄琮倧綜棕褤
孯,孯掔罦孥拏鋻婜孚孼堅
孰,孰執訙誂訅埶勃訧蓻蓺
孱,孱羼屢扅尾鳸麢肁房晨
孲,孲掗俹稏抂撢捶揰征挜
孳,孳孶耄挲斈髼夆髦篫莑
孴,孴蓍音菁耆蕎霉鬢青晝
孵,孵毈噼脬赙嚤艀飗擗赠
孶,孶孳摮挲莩莑辇擎摰窰
孷,孷氂犛鷘釐鸄嫠鶩驁騖
學,學挐窯孼窙拏孯黑擥掔
孹,孹擘嬖孼璧孽壁蔞單窶
孺,孺擩儒擂懦襦礝摴羺獳
孻,孻儘摏藶禈莅徸擂揎孺
孼,孼孹擘茡荢孽荸孯學崋
孽,孽擘撀擥華孹蓽茟薴蕇
孾,孾攖撄櫻缨樱婴瘿揳纓
孿,孿攣孌鑾卛巒蠻欒變轡
宀,宀乛龸广疒厂龴丆丶二
宁,宁于亍手宇甼干肀宗子
宂,宂亢冗亣芁巟九宄朮丸
它,它庀戹疕尼虙寍亱产宓
宄,宄艽宂完芄宠究尭皃苀
宅,宅宒芼字雮毛辛宇亳耄
宆,宆写穹巪富肎毫肓皀膏
宇,宇字芋芉辛穻荢牢宰譱
守,守寺寸芽壸咛庌庤詝耔
安,安妄羑荌羨苃羡妾妛芠
宊,宊夫芖矢天失宎羙芙哭
宋,宋未末朱雬宊桒耒穼宷
完,完宪皃尭芫羌亮宗兒宄
宍,宍宊宗茓夹雬来宩夬杗
宎,宎哭珡旲芙吴天芺矢宊
宏,宏厷宠去宋宊宍羡安麩
宐,宐匇亥夕穵家夊囱匛奒
宑,宑畁舁卉拜珜竎昇荓庰
宒,宒雮芼宅耄竁毣毛毞靟
宓,宓苾呟玹咳竑玄畡区晐
宔,宔壷主茔竈圭譱菫盦鼃
宕,宕着峟岩若宥春宭看君
宖,宖苰鴥詠畞訟詼歊昿誺
宗,宗亰杗宲桒京茮完琹杲
官,官言首亯宫吂宮宦直苷
宙,宙亩审畗宦甫南壷由苗
定,定走莡婠萣疌歨殖寣廂
宛,宛苑冗茒元死宄丸菀宂
宜,宜冝宣亘直亶葺巨罝宧
宝,宝宔壸衁京壶亰壷莹室
实,实买突奀卖巬宎奕猆罢
実,実美芺荚穾奊荑蘘宎羙
宠,宠茏龙圥宄羗完宏无兂
审,审宙申亩串曰甫畗宦南
客,客峉茖容畧睿吝茗饔署
宣,宣實罝冒冝亶咠亘萱富
室,室荎窒至宔盍鼁荃韏塁
宥,宥峟看春宕右君蔒宭石
宦,宦官吂言宙宣三畗盫亯
宧,宧茝賔宜匵夁盧匱蓲虘
宨,宨窕雿求筄飞爽茪晁兖
宩,宩冞来宷釆采罙夹雬琹
宪,宪完羌尭芫圥皃兂先茪
宫,宫宮富亶亯萺冒肎冝喜
宬,宬荿成窚茙哉蒇咸叞殻
宭,宭莙窘君宕看冒寁蔒宥
宮,宮宫富冒亶宣膏冝肎喜
宯,宯窙罦斈享孠莩茡雽孛
宰,宰睪睾辜竈鼉譶罣羣龗
宱,宱莋筰痄作拃秨厏怍榨
宲,宲杗某棠桒菒桌枼臬枽
害,害書寈罯萻菁喜軎窨菩
宴,宴冥戛寠妻戞蔓禀夏婁
宵,宵胃胄冐青冑鸎靑莦音
家,家豙冢冡象亥彖蒙蒃豖
宷,宷寀宩雬冞采釆琹乗菜
宸,宸莀屒展辰戸昃痮扆衰
容,容睿峇客饔吞荅答谷餐
宺,宺亮寔舟戸旯嘉甼兒臮
宻,宻客密崈吝蠡茖盋盞塁
宼,宼窛寇冦冠蔲勊寂戒戎
宽,宽売克壳寬责兗竞尭黄
宾,宾槀黨冥奌寘蓂真集三
宿,宿蓿蒨稫倩蓓襩稿襢楅
寀,寀宷菜髤乗檕琹杗裹采
寁,寁萐疌疐躉躠霆蹇寔畫
寂,寂菽戒戎歳放漃呅荿宬
寃,寃冤菟兗蒬莬宽覚実寬
寄,寄奇哥嵜寈菁害疂哿帚
寅,寅實寘買寬頁寊責黃寛
密,密宻蜜盔蔤蝅寗瑢藌盠
寇,寇冦宼蔲蔻冠窛疌蒄苨
寈,寈菁害書萻瞢喜曺罯晝
寉,寉崔隺隹萑雈嵂奞疰宦
寊,寊賈賁寶費蕒貢寘責賷
寋,寋弿骞春萶謇菤蹇霯霉
富,富宮冨宫昌畺亯宣菖畠
寍,寍衁硿盇盆岛茊艗杢盋
寎,寎寐病巟痫疬麻疠寣疧
寏,寏奧奐葖罺奥案槀窦穾
寐,寐寎辣諌昧眛眹誎皌謀
寑,寑葠寝侵褄寖萇廈仨襩
寒,寒塞寨曓蕶褰暴罢巺栆
寓,寓富萬冨宫高宮畐鬲亯
寔,寔是寁嘉皇疌矗莡宺昰
寕,寕軍享黨孛車孠蕁譶熏
寖,寖蓡薓濅瀆浸漬淒漊漫
寗,寗蜜鶩賌驽鸄甯弩鷢督
寘,寘真蒖窴貢買頁蓂實寅
寙,寙蓏窳赋丽凧脈喌冚郦
寚,寚毒寈霉害轟喜壼書壹
寛,寛寬莧寘買頁真窴竟蒖
寜,寜寧嚀甯挛矃寕孯驿黧
寝,寝寑葠寖痩蘉廈厦梫唚
寞,寞莫蓂茣冥寠寘窠藁真
察,察蔡寮祭萘竂繋薒繫蘩
寠,寠蔞婁寞蓂萋窶藳寘童
寡,寡募冪墓冥真寘頁萛幕
寢,寢骎駸唚贖痮農屒震暥
寣,寣誩琂寱疟唁寤諠娮謞
寤,寤窹霜瘑腷寣癗彄癌屫
寥,寥蓼翏蔘嵾零廖曑鬖褢
實,實宣貴貫買蕢寅寶寘冒
寧,寧寜軍寕薴黧孯挛撀孼
寨,寨褰秦案蓁葇寒曓赛棐
